,nirv,nirv_source,tot11,tot11_source,ntb,ntb_source,ctb,ctb_source
1SA 25:33,May the Lord bless you for what you have done. You have shown a lot of good sense. You have kept me from killing Nabal and his men this day. You have kept me from using my own hands to get even.,https://www.bible.com/bible/110/1SA.25.NIRV,ཁྱོད་ཀྱི་བསམ་ཤེས་བཟང་པོ་དང་། དེ་རིང་ཁྱོད་ཀྱི་བྱ་བ་དེ་ལ་བརྟེན་ནས་ང་ནི་སྲོག་གཅོད་ཀྱི་ཉེས་སྡིག་དང་དགྲ་ཤ་ལེན་པ་ལས་སྐྱོབ་པ་གནང་མཁན་དཀོན་མཆོག་ལ་ངས་ཐུགས་རྗེ་ཆེ་ཞུ་རྒྱུ་ཡིན།,https://www.bible.com/bible/1712/1SA.25.TOT11,,,,
PSA 74:4,"In the place where you used to meet with us, your enemies have shouted, “We’ve won the battle!” They have set up their flags to show they have beaten us.",https://www.bible.com/bible/110/PSA.74.NIRV,ཁྱེད་ཀྱི་མཆོད་ཁང་ནང་དུ་དགྲ་བོས་ཚོས། རྒྱལ་ཁ་ཐོབ་པའི་ཀུ་ཅོ་འདོན་པར་བྱས། དེ་ཚོས་རང་གི་རྟགས་སུ་དར་ཆ་བཞག།,https://www.bible.com/bible/1712/PSA.74.TOT11,,,,
EZK 30:25,I will make the arms of the king of Babylon stronger. But the arms of Pharaoh will not be able to help Egypt. I will put my sword in Nebuchadnezzar’s hand. He will get ready to use it against Egypt. Then they will know that I am the Lord .,https://www.bible.com/bible/110/EZK.30.NIRV,ངས་ཁོ་ལ་ཉམས་རྒུད་གཏོང་རྒྱུ་དང་། བྷེ་བྷི་ལོ་ནི་ཡའི་རྒྱལ་པོའི་སྟོབས་ཤུགས་ཇེ་ཆེར་གཏོང་རྒྱུ་ཡིན་པ་དང་། ངས་ཁོ་ལ་ངའི་རལ་གྲི་སྤྲད་རྒྱུ་དང་། ཁོས་ཨི་ཇིབ་ཀྱི་ཕྱོགས་སུ་སྟེགས་སྐབས་ཚང་མས་ང་གཙོ་བོ་དཀོན་མཆོག་ཡིན་པ་ཤེས་པར་འགྱུར་རོ།,https://www.bible.com/bible/1712/EZK.30.TOT11,,,,
MAT 15:33,"His disciples answered him. “There is nothing here,” they said. “Where could we get enough bread to feed this large crowd?”",https://www.bible.com/bible/110/MAT.15.NIRV,,,ཐུགས་སྲས་རྣམས་ན༌རེ། དབེན་སྟོང་འདི་རུ་མི་འདི་འདྲ་མང་པོ་ཞིག་ལྟོ་བ་འགྲང་བར་བྱེད་པའི་བག་ལེབ་གང་ནས་རྙེད་ཐུབ་བམ་ཞེས་ཞུས་པ༌ན།,https://www.bible.com/bible/1933/MAT.15.NTB,ཉེ་གནས་རྣམས་ཀྱིས་ཁོང་ལ་“མི་ཚོགས་མང་པོ་འདི་འགྲང་བར་བྱེད་པའི་བག་ལེབ་མང་པོ་འདི་འདྲ་དབེན་སྟོང་འདི་རུ་ག་ནས་རྙེད་ཐུབ་བམ་”ཞེས་བཤད་པས།,https://www.bible.com/bible/2378/MAT.15.CTB
ROM 15:19,"He has given me power to do signs and wonders. I can do these things by the power of the Spirit of God. From Jerusalem all the way around to Illyricum I have finished preaching. In those places, I preached the good news about Christ.",https://www.bible.com/bible/110/ROM.15.NIRV,,,གྲུབ་རྟགས་དང་ངོ་མཚར་ཅན་གྱི་དོན་རྣམས་ཀྱི་ནུས་མཐུ་དང༌། དམ་པའི་ཐུགས་ཉིད་ཀྱི་ནུས་མཐུའི་སྒོ་ནས། ཕྱི་ཕྱོགས་པ་རྣམས་དཀོན་མཆོག་གི་བཀའ་ལ་བསྟུན་པར་མཛད། ཐ་ན་བདག་གིས་ཡེ་རུ་སཱ་ལེམ་ནས་ཨིལ་ལི་རི་ཀུམ་ཡུལ་བར་དུ་སྐྱབས་མགོན་མཱ་ཤི་ཀའི་འཕྲིན་བཟང་ཡོངས་སུ་བསྒྲགས་སོ།།,https://www.bible.com/bible/1933/ROM.15.NTB,,
JDG 12:8,"After Jephthah, Ibzan from Bethlehem led Israel.",https://www.bible.com/bible/110/JDG.12.NIRV,ཡེཕ་ཐཱའི་རྗེས་སུ་བྷེད་ལེ་ཧེམ་པ་ཨིབ་ཛན་གྱིས་ཨིསི་རཱཨེལ་གྱི་འགོ་འཁྲིད་བྱས་སོ།,https://www.bible.com/bible/1712/JDG.12.TOT11,,,,
GEN 2:21,"So the Lord God caused him to fall into a deep sleep. While the man was sleeping, the Lord God took out one of the man’s ribs. Then the Lord God closed the opening in the man’s side.",https://www.bible.com/bible/110/GEN.2.NIRV,དེ་ནས་དཀོན་མཆོག་གཙོ་བོ་དཀོན་མཆོག་གིས་མི་ལ་གཉིད་ལྗིད་པོ་ཞིག་ཁུག་བཅུག་གནང་ནས། ཁོ་ཉལ་བའི་སྐབས་སུ། ཁོའི་རྩིབ་མ་གཅིག་བཏོན་གནང་ཞིང་། དེའི་ཤུལ་དུ་ཤ་ཡིས་བསུབ་པར་མཛད་དོ།,https://www.bible.com/bible/1712/GEN.2.TOT11,,,དེའི་ཕྱིར་ཡ་ཝེ་དཀོན་མཆོག་གིས་མི་དེ་གཉིད་ལྗིད་པོ་ཞིག་ཁུག་བཅུག་སྟེ།  ཁོ་གཉིད་ཁུག་དུས་དཀོན་མཆོག་གིས་ཁོའི་རྩིབ་མ་གཅིག་བཏོན་ནས་ཤུལ་དེ་ནི་ཤ་ཡིས་བསྐྱོན།,https://www.gsungrab.org/online_tibetan_bible/bo-02-GEN-002.html
MIC 1:1,"A message from the Lord came to Micah. He was from the town of Moresheth. The message came while Jotham, Ahaz and Hezekiah were kings of Judah. This is the vision Micah saw concerning Samaria and Jerusalem. Here is what he said.",https://www.bible.com/bible/110/MIC.1.NIRV,ཡ་ཧུ་དཱའི་ཡུལ་དུ་རྒྱལ་པོ་ཡོ་ཐམ་དང་ཨ་ཧཱཛ་དང་ཧེ་ཛི་ཀི་ཡཱ་བཅས་ཀྱི་སྲིད་སྐྱོང་བྱེད་སྐབས་གྲོང་ཁྱེར་མོ་རེ་ཤེད་ཞེས་པར་གནས་སྡོད་བྱེད་མཁན་མི་ཀཱའི་བརྒྱུད་ནས་གཙོ་བོ་དཀོན་མཆོག་གིས་གསུང་འཕྲིན་གནང་བ། ཁོང་གིས་ས་མར་ཡ་དང་ཡེ་རུ་ཤ་ལེམ་གྱི་སྐོར་ལ་མི་ཀཱ་ལ་འདི་ཐམས་ཅད་མངོན་པར་མཛད་གནང་བ།,https://www.bible.com/bible/1712/MIC.1.TOT11,,,,
LUK 8:3,"Another was Joanna, the wife of Chuza. He was the manager of Herod’s household. Susanna and many others were there also. These women were helping to support Jesus and the 12 disciples with their own money.",https://www.bible.com/bible/110/LUK.8.NIRV,,,ས་གནས་དཔོན་པོ་ཧེ་རོ་དཱའི་གཉེར་པ་ཀུ་སཱའི་ཆུང་མ་ཡོ་ཨན་ནཱ༌དང༌། གཞན་ཡང་སི་སན་ནཱ་སོགས་བུད་མེད་མང་པོ་ཡོད༌དེ། ཁོ་མོ་རྣམས་ཀྱིས་རང་གི་རྒྱུ་ནོར་སྤྱད་ནས་ཁོང་རྣམས་ལ་རྒྱབ་རོགས་བྱས༌སོ།།,https://www.bible.com/bible/1933/LUK.8.NTB,རྒྱལ་པོ་ཧེ་རོ་དཱེ་ཡི་ཁྱིམ་ཚང་གི་གཉེར་པ་ཀུ་སཱ་ཡི་བཟའ་ཟླ་ཡོ་ཨ་ནཱ། སུ་སན་ནཱ་སོགས་པའི་བུད་མེད་མང་པོ་ཡང་ཡོད། ཁོ་ཚོས་རང་གི་རྒྱུ་ནོར་གྱིས་ཁོང་ཚོར་རྒྱབ་སྐྱོར་བྱས།,https://www.bible.com/bible/2378/LUK.8.CTB
LEV 15:22,Anyone who touches anything she sits on must wash their clothes. They must take a bath. They will be “unclean” until evening.,https://www.bible.com/bible/110/LEV.15.NIRV,,,,,,
