,en,bo,en_source,bo_source,index
13589,The Lord looks with favor on those who are godly. His ears are open to their cry.,གཙོ་བོ་དཀོན་མཆོག་ཁོང་གི་དྲང་བདེན་ཚོར་གཅེས་སྐྱོངས་གནང་། དེ་ཚོའི་འོ་འདོད་ཚང་མ་གསན་པར་འགྱུར།,https://www.bible.com/bible/110/PSA.34.NIRV,https://www.bible.com/bible/1712/PSA.34.TOT11,PSA 34:15
20845,He asked them for advice in matters that required wisdom and understanding. The king always found their answers to be the best. Other men in his kingdom claimed to get knowledge by using magic. But the answers of Daniel and his friends were ten times better than theirs.,རྒྱལ་པོ་ལ་དྲི་བ་འམ་དཀའ་ངལ་གང་འདྲ་ཞིག་ཡོད་ནའང་། དེའི་སྐོར་ལ་གཞོན་ནུ་བཞི་པོ་དེ་ཚོ་ཡུལ་གྱི་ནང་དུ་ཡོད་པའི་རྩིས་པ་དང་སྒྱུ་མ་མཁན་ཚང་མ་ལས་བཅུ་ལྡབ་ཀྱིས་མང་བ་ཤེས་ཀྱི་ཡོད་དོ།,https://www.bible.com/bible/110/DAN.1.NIRV,https://www.bible.com/bible/1712/DAN.1.TOT11,DAN 1:20
7419,"Abiathar, the son of Ahimelek, had brought down the sacred linen apron with him from Nob. He did it when he ran away to David at Keilah.",སྐབས་དེར་ཨ་ཧི་མེ་ལེག་གི་བུ་ཨ་བྷི་ཡ་ཐར་བྲོས་ནས་ཀི་ལཱ་རུ་དཱ་བིད་ཀྱི་ཁོངས་སུ་འགྲོ་སྐབས། ཁོས་རང་དང་མཉམ་དུ་ཨེ་ཕོད་ཀྱང་འཁྱེར་ནས་ཕྱིན་ནོ།,https://www.bible.com/bible/110/1SA.23.NIRV,https://www.bible.com/bible/1712/1SA.23.TOT11,1SA 23:6
2374,You must set them apart so that they will be very holy. Anything that touches them will be holy.,དངོས་པོ་དེ་རྣམས་གོང་བཞིན་བསྔོ་བའི་སྒོ་ནས་དེ་དག་ཡོངས་སུ་དམ་པར་འགྱུར་བས། སུ་ཞིག་གིས་དེ་ལ་རེག་པ་ཡིན་ན་དེའི་དམ་པའི་མཐུས་མི་དེ་ལ་གནོད་འཚེ་ཕོག་པར་འགྱུར་རོ།,https://www.bible.com/bible/110/EXO.30.NIRV,https://www.bible.com/bible/1712/EXO.30.TOT11,EXO 30:29
3575,"They were responsible for taking care of the frames of the tent. They took care of its crossbars, posts and bases. They took care of all its supplies. In fact, they had to take care of everything connected with the use of all those things.",དབུ་གུར་དམ་པའི་གུར་སྒྲོམ་དང་། དེའི་རྒྱུག་པ་དང་ཀ་བ་དང་ཞབས་འདན་ལ་སོགས་པའི་མཁོ་བྱད་ཚང་མའི་འགན་འཁུར་དེ་ཚོ་ལ་སྤྲད་ཡོད་དོ། མཁོ་བྱད་དེ་དག་དང་འབྲེལ་ཡོད་ཀྱི་སྲི་ཞུ་ཚང་མ་ཁོ་ཚོས་བྱེད་དགོས་ཤིང་།,https://www.bible.com/bible/110/NUM.3.NIRV,https://www.bible.com/bible/1712/NUM.3.TOT11,NUM 3:36
7740,But David captured the fort of Zion. It became known as the City of David.,(འོན་ཀྱང་དཱ་བིད་ཀྱིས་ཛི་ཡོན་དུ་ཡོད་པའི་དེ་ཚོའི་མཁར་རྫོང་དེ་དབང་བསྒྱུར་བྱས་པ་ཡིན་པས། གནས་དེ་ལ་དཱ་བིད་ཀྱི་གྲོང་ཁྱེར་ཞེས་བརྗོད་པ་ཡིན་ནོ།),https://www.bible.com/bible/110/2SA.5.NIRV,https://www.bible.com/bible/1712/2SA.5.TOT11,2SA 5:7
16711,Your earrings make your cheeks even more beautiful. Your strings of jewels make your neck even more lovely.,ཁྱོད་ཀྱི་སྐྲ་ནི་འགྲམ་པའི་སྟེང་མཛེས་ཤིང་། ཁྱོད་ཀྱི་སྐེ་ནི་ནོར་རྒྱན་གྱི་སྐེ་ཐག་གིས་རྒྱན་ཡོད།,https://www.bible.com/bible/110/SNG.1.NIRV,https://www.bible.com/bible/1712/SNG.1.TOT11,SNG 1:10
9614,"Then Shebna, Joah and Eliakim, the son of Hilkiah, spoke to the field commander. They said, “Please speak to us in the Aramaic language. We understand it. Don’t speak to us in Hebrew. If you do, the people sitting on the city wall will be able to understand you.”",དེ་ནས་ཨེལ་ཡ་ཀིམ་དང་ཤེབ་ན་དང་ཡོ་ཨ་གསུམ་གྱིས་ལས་བྱེད་པ་དེ་ལ། ང་ཚོར་ཨ་རམ་པའི་སྐད་ཐོག་གསུངས་རོགས་གནང་། གང་ལགས་ཟེར་ན། ང་ཚོས་སྐད་དེ་ཤེས་ཀྱི་ཡོད། ཨིབ་རི་པའི་སྐད་ཐོག་མ་གསུངས་རོགས་གནང་། ལྕགས་རིའི་སྟེང་གི་མི་མང་རྣམས་ནས་ཉན་བཞིན་འདུག་ཅེས་ཞུས་སོ།,https://www.bible.com/bible/110/2KI.18.NIRV,https://www.bible.com/bible/1712/2KI.18.TOT11,2KI 18:26
20281,They will bring you down to the grave. You will die a horrible death in the middle of the sea.,དེ་ཚོས་ཁྱོད་ལ་བསད་ནས་ཆུའི་དུར་ཞིག་ཏུ་གཏོང་བར་བྱའོ།,https://www.bible.com/bible/110/EZK.28.NIRV,https://www.bible.com/bible/1712/EZK.28.TOT11,EZK 28:8
2943,Then you will be able to teach the Israelites all the rules I have given them through Moses.”,ངས་མོ་ཤེའི་བརྒྱུད་ནས་སྤྲད་པའི་བཀའ་ཁྲིམས་ཚང་མ་ཁྱོད་ཀྱིས་ཨིསི་རཱཨེལ་པ་རྣམས་ལ་སློབ་སྟོན་བྱེད་དགོས།,https://www.bible.com/bible/110/LEV.10.NIRV,https://www.bible.com/bible/1712/LEV.10.TOT11,LEV 10:11
