source,target,score,source_url,target_url
Chapitre I,ལེའུ་དང་པོ།,1.24,https://www.gutenberg.org/files/2419/2419-h/2419-h.htm,https://latse.org/108-translations/#The Lady of the Camellias
"Mon avis est qu'on ne peut créer des personnages que lorsque l'on a beaucoup étudié les hommes, comme on ne peut parler une langue qu'à la condition de l'avoir sérieusement apprise.",༄༅།། ངའི་སེམས་པར་མི་ཚོས་ཕྱི་རྒྱལ་གྱི་སྐད་ཡིག་ཅིག་མཐར་ཕྱིན་པ་ཞིག་མ་སྦྱངས་པར་སྐད་ཡིག་དེ་བཤད་མི་ཤེས་པ་ལྟར་མིའི་རང་གཤིས་ལའང་བརྟག་དཔྱད་ཚུལ་བཞིན་མ་བྱས་པར་མི་སྣ་ངོ་འཕྲོད་པ་ཞིག་རྟོག་བཟོ་བྱ་མི་ཐུབ་སྙམ། ང་ནི་ལོ་ན་དང་ཤེས་ཚད་གཉིས་ཀ་མི་སྣ་རྟོག་བཟོ་བྱེད་པའི་ཚད་དེར་སླེབས་མེད་པས་ངས་མི་སྣ་ཞིག་ལ་འགྲེལ་བཤད་བརྒྱབ་ནས་རང་ཉིད་ཚིམ་པར་བྱ།,0.329268,https://www.gutenberg.org/files/2419/2419-h/2419-h.htm,https://latse.org/108-translations/#The Lady of the Camellias
"N'ayant pas encore l'âge où l'on invente, je me contente de raconter.",ངས་ཀློག་པ་པོ་རྣམས་ལ་སྒྲུང་འདི་བདེན་པར་བརྩི་བའི་རེ་བ་ཞུ།,0.498214,https://www.gutenberg.org/files/2419/2419-h/2419-h.htm,https://latse.org/108-translations/#The Lady of the Camellias
"J'engage donc le lecteur à être convaincu de la réalité de cette histoire, dont tous les personnages, à l'exception de l'héroïne, vivent encore.",སྒྲུང་འདིའི་ནང་གི་མི་སྣ་གཙོ་མོ་མ་གཏོགས་གཞན་པ་ཐམས་ཅད་འཚོ་ཞིང་གཞེས།,0.415909,https://www.gutenberg.org/files/2419/2419-h/2419-h.htm,https://latse.org/108-translations/#The Lady of the Camellias
"D'ailleurs, il y a à Paris des témoins de la plupart des faits que je recueille ici, et qui pourraient les confirmer, si mon témoignage ne suffisait pas. Par une circonstance particulière, seul je pouvais les écrire, car seul j'ai été le confident des derniers détails sans lesquels il eût été impossible de faire un récit intéressant et complet.",ངས་ནན་བརྗོད་བྱ་དགོས་པ་ཞིག་ལ་སྒྲུང་འདིར་བཀོད་པའི་དོན་དངོས་ཕལ་ཆེ་བར་པ་རི་སི་གྲོང་ཁྱེར་དུ་བདེན་དཔང་བྱེད་ཐུབ་མཁན་ཡོད་ཅིང་། གལ་སྲིད་ངས་བདེན་པར་བརྗོད་པ་འདིར་ཆ་འཇོག་དཀའ་ན་སྐྱེ་བོ་དེ་དག་ལ་དྲིས་ན་ངེས་གཏན་བྱ་ཐུབ། ང་ནི་རྒྱུ་རྐྱེན་ཁྱད་པར་བ་ཞིག་གིས་སྒྲུང་འདིའི་མགོ་མཇུག་བར་གསུམ་གྱི་བྱུང་རིམ་ཆ་ཚང་ཞིག་བཤད་ཐུབ་པའི་སྐྱེ་བོ་འབའ་ཞིག་དེ་ཡིན། ཅིའི་ཕྱིར་ཞེ་ན་ང་སྒྲུང་འདིའི་མཐའ་མཇུག་གི་བྱུང་རིམ་གྱི་ཞིབ་ཕྲ་ཁག་ལ་ཆ་རྒྱུས་ཡོད་པའི་མི་གཅིག་པུ་དེ་ཡང་ཡིན། ངས་ཤེས་པའི་བྱུང་རིམ་གྱི་ཞིབ་ཆ་དེ་དག་མེད་ན་སྒྲུང་འདི་སྙན་པོ་དང་ཆ་ཚང་ཞིག་མི་འགྲུབ།,0.520426,https://www.gutenberg.org/files/2419/2419-h/2419-h.htm,https://latse.org/108-translations/#The Lady of the Camellias
"Or, voici comment ces détails sont parvenus à ma connaissance.—Le 12 du mois de mars 1847, je lus, dans la rue Laffitte, une grande affiche jaune annonçant une vente de meubles et de riches objets de curiosité. Cette vente avait lieu après décès. L'affiche ne nommait pas la personne morte, mais la vente devait se faire rue d'Antin, nº 9, le 16, de midi à cinq heures.",ད་ནི་ང་ཚོ་བརྗོད་བྱའི་ཐོག་ཏུ་ཕྱིར་བབས་ཏེ་ང་སྒྲུང་འདིའི་བྱུང་རིམ་གྱི་ཞིབ་ཆ་ཁག་ལ་དོ་སྣང་ཇི་ལྟར་བྱུང་ཚུ་གླེང་། ༡༨༤༧ ལོའི་ཟླ་༣ ཚེས་ ༡༢ ཉིན་ངས་ལ་ཧྥི་ཋི་སྲང་ལམ་དུ་ཁྱིམ་ཆས་རྩ་ཆེན་དང་ཅ་ལག་དཀོན་རིགས་བཙོང་རྒྱུ་ཡོད་ཅེས་ཁྱབ་བསྒྲགས་ཀྱི་ཤོག་གུ་སེར་པོ་ཆེན་པོ་ཞིག་སྦྱར་ཡོད་པ་མཐོང་། འདི་ནི་མི་ཞིག་གྲོངས་པའི་རྗེས་སུ་ཅ་ལག་རྣམས་བཙོང་གི་ཡོད་པ་ཞིག་རེད། ཁྱབ་བསྒྲགས་དེར་གཤིན་པོ་སུ་ཡིན་མིང་བཀོད་མེད་ཀྱང་ཅ་ལག་རྣམས་ཨན་ཋན་སྲང་ལམ་གྱི་ཁང་མིག་ཨང་ ༩ ནང་དུ་ཚེས་ ༡༦ གི་ཉིན་གུང་ནས་ཕྱི་དྲོའི་ཆུ་ཚོད་ ༥ བར་དུ་བཙོང་གི་ཡོད་ཅེས་འཁོད།,0.721082,https://www.gutenberg.org/files/2419/2419-h/2419-h.htm,https://latse.org/108-translations/#The Lady of the Camellias
"L'affiche portait en outre que l'on pourrait, le 13 et le 14, visiter l'appartement et les meubles.",ད་དུང་ཁྱབ་བསྒྲགས་དེར་ཚེས་ ༡༣ དང་ ༡༤ གཉིས་ལ་ཁང་པ་སྒོ་ཕྱེས་ནས་ནང་གི་ཅ་ལག་ལ་བལྟ་རུ་འཇུག་རྒྱུ་ཡིན་ཞེས་བཀོད།,0.228571,https://www.gutenberg.org/files/2419/2419-h/2419-h.htm,https://latse.org/108-translations/#The Lady of the Camellias
"J'ai toujours été amateur de curiosités. Je me promis de ne pas manquer cette occasion, sinon d'en acheter, du moins d'en voir.",ང་ནི་རྟག་ཏུ་ཅ་ལག་དཀོན་རིགས་ལ་དགའ་བས་ཅ་ལག་དེ་དག་ཉོ་མི་ཐུབ་ཀྱང་བལྟ་ཙམ་བྱ་བར་གོ་སྐབས་དེ་འཆོར་མི་ཉན་ཞེས་དམ་བཅའ་བཞག,0.622118,https://www.gutenberg.org/files/2419/2419-h/2419-h.htm,https://latse.org/108-translations/#The Lady of the Camellias
"Le lendemain, je me rendis rue d'Antin, nº 9.",ཕྱི་ཉིན་ང་ཨན་ཋན་སྲང་ལམ་གྱི་ཁང་མིག་ཨང་ ༩ ནང་དུ་སོང་།,0.881781,https://www.gutenberg.org/files/2419/2419-h/2419-h.htm,https://latse.org/108-translations/#The Lady of the Camellias
"Il était de bonne heure, et cependant il y avait déjà dans l'appartement des visiteurs et même des visiteuses, qui, quoique vêtues de velours, couvertes de cachemires et attendues à la porte par leurs élégants coupés, regardaient avec étonnement, avec admiration même, le luxe qui s'étalait sous leurs yeux.",དུས་ཚོད་སྔ་བོ་ཡིན་རུང་ཁང་པའི་ནང་དུ་མི་མང་པོ་ཞིག་འདུས། མི་ཚོགས་དེའི་གྲས་སུ་བུད་མེད་འགའ་ཞིག་ཡོད་པ་དེ་དག་གིས་གོས་ཆེན་སྤུ་མའི་མཆོར་གོས་སྤྲས། ཁ་ཆེའི་ཡུལ་གྱི་རའི་ཁུ་ལུའི་གཟན་གོས་དཀྲིས། བུད་མེད་དེ་དག་ལ་ཕྱི་ལོགས་སུ་རང་རང་གི་བལྟ་ན་སྡུག་པའི་ཤིང་རྟའི་འཁོར་ལོ་དག་གིས་སྒུག་འདུག་ཀྱང་ཁོ་ཚོས་མིག་གི་ལོངས་སྤྱོད་དུ་བསྟར་པའི་གཤིན་པོ་དེའི་རྒྱས་སྤྲོས་ཀྱི་ཅ་ལག་ལ་ཡ་མཚན་དང་ཡིད་སྨོན་ཤོར་ནས་བལྟས།,0.532838,https://www.gutenberg.org/files/2419/2419-h/2419-h.htm,https://latse.org/108-translations/#The Lady of the Camellias
