source,target,score,source_url,target_url
"Voilà ce que ma vanité me soufflait sur le boulevard, quand je rencontrai Gaston qui me demanda d'où je venais.",ངས་གཞུང་ལམ་ཐོག་ཏུ་སོ་སོ་རང་རློམ་ཆེ་དྲགས་པས་རེད་ཅེས་ཁེར་ལབ་བརྒྱབ་ནས་འགྲོ་དུས་གྲོགས་པོ་གྷ་སི་ཋོན་ལ་ཐུག ཁོ་པས་ང་ལ་ཁྱོད་གང་ནས་ཡོང་ཞེས་དྲིས།,0.291725,https://www.gutenberg.org/files/2419/2419-h/2419-h.htm,https://latse.org/108-translations/#The Lady of the Camellias
Je sortis pour dîner et je rentrai presque immédiatement. Je fis faire du feu partout et je donnai congé à Joseph.,ང་དགོང་ཟས་ཟ་རུ་སོང་སྟེ་མྱུར་དུ་རང་ཁྱིམ་ལ་ལོག ངས་ཁང་པའི་ནང་གི་མེ་ཐབ་ཁག་ལ་མེ་སྒོང་བརྒྱབ་ནས་དགོང་མོ་དེར་ཇོ་སིབ་ལ་གུང་སེང་སྤྲད།,0.708421,https://www.gutenberg.org/files/2419/2419-h/2419-h.htm,https://latse.org/108-translations/#The Lady of the Camellias
—Pourquoi ne me dites-vous pas ces raisons aujourd'hui?,“དེ་རིང་ཁྱོད་ཀྱིས་ང་ལ་རྒྱུ་མཚན་དེ་དག་བཤད་ན་མི་ཆོག་གམ།”,0.563265,https://www.gutenberg.org/files/2419/2419-h/2419-h.htm,https://latse.org/108-translations/#The Lady of the Camellias
"—Préférez-vous m'aimer pour rien? C'est moi qui n'accepterais pas alors. Réfléchissez, ma chère Olympe; je vous aurais envoyé une personne quelconque vous proposer ces trois cents louis de ma part aux conditions que j'y mets, vous eussiez accepté. J'ai mieux aimé traiter directement avec vous. Acceptez sans chercher les causes qui me font agir; dites-vous que vous êtes belle, et qu'il n'y a rien d'étonnant que je sois amoureux de vous.",“འོ་ན་ང་ལ་ཅི་ཡང་མེད་ན་ཁྱོད་ང་ལ་དགའ་སྲིད་དམ། ཁྱོད་ལ་ཅི་ཡང་མེད་ཀྱང་ཁྱོད་ང་ལ་དགའ་ན་ངས་དེ་ལ་ངོས་ལེན་བྱ་ཐུབ། ངའི་བརྩེ་བའི་ཨོ་ལིམ་ཕ། བསམ་བློ་ཐོངས། གལ་སྲིད་ངས་མི་གང་རུང་ཞིག་མངགས་ནས་གསེར་ཊམ་སུམ་བརྒྱ་ཐམ་པ་ཁྱོད་ལ་སྟེར།,0.12258,https://www.gutenberg.org/files/2419/2419-h/2419-h.htm,https://latse.org/108-translations/#The Lady of the Camellias
"—Alors, nous irons avec vous.",“དེས་ན་ང་ཚོ་ཁྱོད་ཀྱི་མཉམ་དུ་ཡོང་ཆོག”,0.173077,https://www.gutenberg.org/files/2419/2419-h/2419-h.htm,https://latse.org/108-translations/#The Lady of the Camellias
"—Je dis, mon cher enfant, qu'il faut que tout jeune homme ait une maîtresse, et que, d'après de nouvelles informations, j'aime mieux te savoir l'amant de mademoiselle Gautier que d'une autre.",“ངའི་གཅེས་ཕྲུག ངས་ཅི་ཞིག་ཟེར་གྱིན་ཡོད་ཅེ་ན་ཕོ་གསར་ཚང་མར་ཟུར་མོ་རེ་དགོས་ངེས་ཡིན། ངས་གནས་ཚུལ་གསར་པ་ཤེས་པར་གཞིགས་ན་ཁྱོད་བུ་མོ་གཞན་ཞིག་གི་དགའ་རོགས་སུ་འགྱུར་རྒྱུའི་ཚབ་ཏུ་སྨན་ཆུང་མ་གྷོ་ཋི་ཨེ་ཡི་དགའ་རོགས་སུ་གྱུར་ན་སྙམ།”,0.600292,https://www.gutenberg.org/files/2419/2419-h/2419-h.htm,https://latse.org/108-translations/#The Lady of the Camellias
—Six mille.,“དྲུག་སྟོང་།”,0.218182,https://www.gutenberg.org/files/2419/2419-h/2419-h.htm,https://latse.org/108-translations/#The Lady of the Camellias
—Ne m'avez-vous pas permis de venir vous faire visite aujourd'hui?,“ང་དོ་དགོང་ཁྱོད་ལ་ཐུག་ཏུ་ཡོང་ཆོག་པའི་དུས་བཏབ་ཡོད་པ་མིན་ནམ།”,0.289655,https://www.gutenberg.org/files/2419/2419-h/2419-h.htm,https://latse.org/108-translations/#The Lady of the Camellias
"Elle avait racheté ses chevaux, car la voiture était telle qu'autrefois; seulement elle n'était pas dedans.",ཁོ་མོས་རྟ་གཉིས་ཕྱིར་ཉོས་པ་འདྲ། ཅིའི་ཕྱིར་ཞེ་ན་ཤིང་རྟ་འཁོར་ལོའི་ནང་དུ་མར་གྷར་རི་ཋི་བསྡད་མེད་པ་མ་གཏོགས་ཤིང་རྟ་འཁོར་ལོ་སྔར་བཞིན་གཅིག་མཚུངས་རེད།,0.595161,https://www.gutenberg.org/files/2419/2419-h/2419-h.htm,https://latse.org/108-translations/#The Lady of the Camellias
"Vers minuit, un coupé que je connaissais bien s'arrêta vers le numéro 9.",ངས་རང་གི་མིག་ལམ་ནས་མར་གྷར་རི་ཋིའི་ཁང་པ་ཡལ་དུ་མ་བཅུག ང་ལ་ཅི་ཞིག་རྩད་གཅོད་བྱ་རྒྱུ་ཡོད་པའམ། མ་མཐའ་ལ་ཡང་ང་ལ་དོགས་པ་ཞིག་ཡོད་པ་སངས་ཐབས་བྱ་དགོས་པའི་ཚོར་བ་ཞིག་སྐྱེས།,0.266189,https://www.gutenberg.org/files/2419/2419-h/2419-h.htm,https://latse.org/108-translations/#The Lady of the Camellias
