source,target,score,source_url,target_url
"They called him Moishe the Beadle, as if his entire a Hasidic house of prayer, a shtibl. The Jews life he had never had a surname. He was the jack-of all-trades in of Sighet—the little town in Transylvania where I spent my childhood—were fond of him. He was poor and lived in utter penury. As a rule, our townspeople, while they did help the needy, did not particularly like them. Moishe the Beadle was the exception. He stayed out of people’s way. His presence bothered no one. He had mastered the art of rendering himself insignificant, invisible.",ཁོའི་མི་ཚེ་ལ་ཁོ་ལ་རུས་མིང་ཞིག་ཡོད་མ་མྱོང་བ་ལྟར་ཁོ་ཚོས་ཁོ་ལ་དཀོར་གཉེར་མོ་ཤི་ཞེས་འབོད། ཁོ་ནི་ཧ་སི་ཌིག་ཅེས་པའི་ཆོས་ཁང་གི་ལས་ཀ་ཚང་མ་བྱེད་མཁན་ཞིག་ཡིན། སི་གྷེད་(གྲོང་བརྡལ་ཆུང་ཆུང་དེ་ཋི་རན་སིལ་ཝེ་ནི་ཡ་ལ་ཡོད་ཅིང་དེར་ངའི་བྱིས་པའི་ལོ་ཟླ་བསྐྱལ་མྱོང་།) ཡི་ཇིའུ་པ་ཚོ་ཁོ་ལ་ཧ་ཅང་དུངས། ཁོ་ཧ་ཅང་དབུལ་ཞིང་གཉོམ་ཆུང་ངང་བསྡད་ཡོད། སྤྱིར་བཏང་ང་སྡོད་སའི་གྲོང་བརྡལ་གྱི་མི་ཚོས་དབུལ་བོ་ལ་རོགས་རམ་བྱེད་ན་ཡང་ཁོ་ཚོ་ལ་དམིགས་བསལ་གྱི་དགའ་ཚོར་མི་སྐྱེ། ཡིན་ན་ཡང་དཀོར་གཉེར་མོ་ཤི་ལ་དེ་ལྟར་མིན། མི་སུ་ལ་ཡང་ཁོའི་རྐྱེན་གྱིས་བག་ཟོན་གྱི་ཚོར་བ་སྐྱེས་མ་མྱོང་ལ། ཁོ་ཡོད་པ་ལ་བརྟེན་ནས་མི་སུ་ལ་ཡང་བག་མི་བདེ་བའི་ཚོར་བ་སྐྱེས་མ་མྱོང་། ཁོ་ནི་རང་ཉིད་གལ་ཆུང་དང་མངོན་མེད་དུ་སྣང་བར་བྱེད་པ་ལ་ནང་བྱན་ཆུད་པ་ཞིག་ཡིན།,0.789964,NA,https://latse.org/108-translations/#Night
"Physically, he was as awkward as a clown. His waiflike shyness made people smile. As for me, I liked his wide, dreamy eyes, gazing off into the distance. He spoke little. He sang, or rather he chanted, and the few snatches I caught here and there spoke of divine suffering, of the Shekhinah in Exile, where, according to Kabbalah, it awaits its redemption linked to that of man.",ལུས་ཁམས་ཀྱི་ཆ་ནས་ཁོ་ལ་གད་མོ་འཆོར་བའི་བཟོ་ལྟ་ཞིག་ཡོད། ཁོའི་ལུས་བོངས་ཆུང་བ་དང་འཚེར་སྣང་ཆེ་བ་དེས་མི་རྣམས་ལ་འཛུམ་མདངས་སློང་བར་བྱེད། ཁོའི་ཡིད་དུ་འོང་ཞིང་འཕྲུལ་སྣང་དང་ལྡན་པ། རྒྱང་རིང་དུ་ཅེར་ནས་སྡོད་པའི་མིག་ཟུང་གིས་བདག་གི་ཡིད་དབང་འཕྲོག ཁོ་ལ་སྨྲ་བ་ཉུང་། ཁོས་གླུ་ལེན། ངོ་མ་བཤད་ན་ཁ་ཏོན་འདོན་གི་ཡོད། ཁོས་ལེན་པའི་གླུ་ཚིག་དམ་དུམ་དེ་དག་ལས་ཕོ་རོ་ཝི་ཌེན་སིའི་ཡུལ་གྱར་དུ་གནས་པའི་དཀོན་མཆོག་གི་སྡུག་བསྔལ་ཏེ། ཁ་བྷ་ལ་ ཡི་གཞུང་ལྟར་ན་འགྲོ་བ་མི་ཡིས་མ་བསྐྱབས་བར་དུ་དཀོན་མཆོག་གི་མྱ་ངན་སངས་ཐབས་མེད་པ་དེ་ཐོས་ཐུབ།,0.517857,NA,https://latse.org/108-translations/#Night
I met him in 1941. I was almost thirteen and deeply observant. By day I studied Talmud and by night I would run to the synagogue to weep over the destruction of the Temple.,སྤྱི་ལོ་ ༡༩༤༡ ཡི་ལོ་མཇུག་ལ་ཉེ་སྐབས་ངས་ཁོ་ཤེས། དེ་དུས་ང་ལོ་བཅུ་གཉིས་ཡིན་ལ་ཆོས་དད་ལྡོག་ཏུ་མེད་པ་ཞིག་ཡོད། ཉིན་མོར་ངས་ཋལ་མུད་ལ་སློབ་སྦྱོང་བྱས་ཤིང་མཚན་མོར་ཆོས་དགོན་ལ་སོང་ནས་ཞིག་པར་གྱུར་བའི་ལྷ་ཁང་གི་ཆེད་དུ་མིག་ཆུ་གཏོར།,0.544737,NA,https://latse.org/108-translations/#Night
"One day I asked my father to find me a master who could guide me in my studies of Kabbalah.“You are too young for that. Maimonides tells us that one must be thirty before venturing into the world of mysticism, a world fraught with peril. First you must study the basic subjects, those you are able to comprehend.”",ཉིན་ཞིག་ངས་རང་གི་ཨ་ཕར་ངས་ཁ་བྷ་ལ་ལ་སློབ་སྦྱོང་བྱེད་པར་ལམ་སྟོན་དགེ་རྒན་ཞིག་འཚོལ་རོགས་ཞུས།,0.18504,NA,https://latse.org/108-translations/#Night
"My father was a cultured man, rather unsentimental. He rarely displayed his feelings, not even within his family, and was more involved with the welfare of others than with that of his own kin. The Jewish community of Sighet held him in highest esteem; his advice on public and even private matters was frequently sought. There were four of us children. Hilda, the eldest; then Bea; I was the third and the only son; Tzipora was the youngest.",“དེ་ལ་ཁྱོད་ལོ་ན་ཆུང་དྲགས་འདུག མེ་མོ་ནི་ཌེ་སི་ཡིས་ལོ་ན་སུམ་ཅུར་སོན་ན་ད་གཟོད་དཀོན་མཆོག་གི་གསང་བའི་ཡོན་ཏན་རྟོགས་རྒྱུར་འཚམ་པོ་ཡིན་ཚུལ་གསུངས་ཡོད། ཁྱོད་ཀྱིས་ཐོག་མར་ངེས་པར་དུ་རང་གི་གོ་སྟོབས་ལ་བརྟེན་ནས་སྦྱང་བྱའི་རྨང་གཞི་སྦྱོང་དགོས།” ངའི་ཨ་ཕ་ནི་སྲོལ་རྒྱུན་གྱིས་བཅིངས་ཤིང་ཚོར་བ་སྐྱེན་པོ་མེད་པའི་མི་ཞིག་ཡིན། ཐ་ན་ཁྱིམ་དུ་ཡང་སེམས་ཚོར་དགའ་སྡུག་གི་དབང་དུ་མི་འགྲོ ཁོང་ནི་རང་ཁྱིམ་ལས་གཞན་ཁྱིམ་ལ་སེམས་ཁུར་བྱེད་མཁན་ཞིག་ཡིན། སི་གྷེད་ཡི་ཇིའུ་པའི་སྤྱི་ཚོགས་ཀྱིས་ཁོང་ཧ་ཅང་མཐོ་བའི་གནས་སུ་བཀུར། ཁོ་ཚོས་ཁོང་ལ་སྤྱི་དོན་མ་ཟད་སྒེར་དོན་ཡང་གྲོས་འདྲི། ང་ཚོར་ཕྲུ་གུ་བཞི་ཡོད། དང་པོ་ཧིལ་ཌ། གཉིས་པ་བྷེ་ཡ། གསུམ་པ་བུ་གཅིག་པུ་ང་ཡིན། ཆེས་ཆུང་བའི་བྱིས་པ་ནི་བཟི་ཕོ་ར་ཡིན།,0.920207,NA,https://latse.org/108-translations/#Night
"My parents ran a store. Hilda and Bea helped with the work. As for me, my place was in the house of study, or so they said.",ངའི་ཕ་མ་གཉིས་ཀྱིས་ཚོང་ཁང་ཞིག་གཉེར་བཞིན་ཡོད། ཧིལ་ཌ་དང་བྷེ་ཡ་གཉིས་ཀྱིས་ཕ་མ་ལ་རོགས་བྱེད། ངའི་ཆ་ནས་བཤད་ན། ཁོ་ཚོས་ངའི་གནས་ནི་སློབ་གྲྭ་ཡིན་ཟེར།,0.625974,NA,https://latse.org/108-translations/#Night
"“There are no Kabbalists in Sighet,” my father would often tell me.",ངའི་ཨ་ཕས། “སི་གྷེད་ན་ཁ་བྷ་ལའི་རིང་ལུགས་པ་གཅིག་ཀྱང་མི་འདུག” ཅེས་བཟློས་ཏེ་བརྗོད།,1.21146,NA,https://latse.org/108-translations/#Night
He wanted to drive the idea of studying Kabbalah from my mind. In vain. I succeeded on my own in finding a master for myself in the person of Moishe the Beadle.,ཁོང་གིས་ངའི་འདོད་བློ་དེ་ངའི་སེམས་ནས་དབྱུང་བར་འདོད། ཡིན་ན་ཡང་ངལ་བ་འབྲས་མེད་ཡིན། ངས་ང་རང་ལ་དགེ་རྒན་ཞིག་བཙལ་ཚར། ཁོང་ནི་དཀོར་གཉེར་མོ་ཤི་ཡིན།,1.11256,NA,https://latse.org/108-translations/#Night
He had watched me one day as I prayed at dusk.,ཉིན་ཞིག་གི་ས་རུབ་ཁར་ངས་སྨོན་ལམ་འདེབས་དུས་ཁོང་གིས་ང་ལ་དོ་སྣང་གནང་འདུག,0.493971,NA,https://latse.org/108-translations/#Night
"“Why do you cry when you pray?” he asked, as though he knew me well.",ཁོང་གིས་ང་སྔོན་མ་ནས་ངོ་ཤེས་པའི་ཚུལ་གྱིས། “ཁྱོད་ཀྱིས་སྨོན་ལམ་འདེབས་སྐབས་ཅི་ལ་ངུ་བ་ཡིན།” ཞེས་ང་ལ་སྐད་ཆ་དྲིས།,1.15922,NA,https://latse.org/108-translations/#Night
