source,target,score,source_url,target_url
"Our one goal was to avoid the transports, to stay here as long as possible. It wasn’t difficult; it was enough never to sign up as a skilled worker. The unskilled were kept until the end.",སེམས་ལས་ཤིག་ཡོད་པ་ནི་གནས་སྤོར་ལས་གཡོལ་ཏེ་གནས་འདིར་སྡོད་ཐུབ་ཚོད་ཅིག་ལ་སྡོད་ཐབས་བྱེད་རྒྱུ་དེ་ཡིན། དེ་ནི་མི་དཀའ། དེ་ནི་རང་ཉིད་ལག་ཤེས་ཅན་གྱི་གྲས་སུ་གཏན་ནས་ཐོ་འགོད་མི་བྱེད་རྒྱུ་དེ་ཁོ་ན་ཡིན། ལུས་ཤུགས་ངལ་རྩོལ་བ་ཚོ་དམག་མཇུག་མ་ཚར་བར་འདིར་འཇོག་པར་འགྱུར།,0.789661,NA,https://latse.org/108-translations/#Night
"In those days it was still possible to buy emigration certificates to Palestine. I had asked my father to sell everything, to liquidate everything, and to leave.",སྐབས་དེར་ད་དུང། ཕ་ལི་སི་ཊེན་ལ་གནས་སྤོ་བའི་ཆོག་མཆན་ཐོབ་ཐུབ། ངས་ཨ་ཕ་ལ་ཁོང་གི་ཚོང་ཟོག་རྣམས་ཕྱིར་འཚོང་དང་གཙང་རྩིས་བྱས་ནས་འགྲོ་ཞེས་ཞུས།,0.848654,NA,https://latse.org/108-translations/#Night
"We followed our Kapo, a young man. He made us halt at the door of the first block, near the entrance to the camp. This was the orchestra’s block. He motioned us inside. We were surprised; what had we to do with music?",ང་ཚོ་ང་ཚོའི་ཁ་ཕོ་ཕོ་གཞོན་ཞིག་གི་རྗེས་སུ་འབྲངས་ཏེ་སོང་། ཁོས་ང་ཚོ་རྒྱ་སྒོ་དང་ཉེ་བའི་ཁང་བསྟར་དང་པོའི་འཛུལ་སྒོར་འགྲོ་མཚམས་འཇོག་བཅུག,0.774491,NA,https://latse.org/108-translations/#Night
"There was nothing else to do but to go to bed, in the beds of those who had moved on. We needed to rest, to gather our strength.",འདིར་མལ་ས་སྟེ། མི་སྣང་བར་གྱུར་བའི་མི་རྣམས་ཀྱི་ཉལ་སར་ཉལ་བ་དང་། ངལ་གསོ་བ། ལུས་སྟོབས་གསོ་བ་མ་གཏོགས་ཅི་ཡང་བྱ་རྒྱུ་མེད།,1.0,NA,https://latse.org/108-translations/#Night
"One evening, he came to see us, his face radiant.",ཁོ་འདི་ལྟར་བཤད་རྒྱུར་གོམས་ཡོད།,0.560606,NA,https://latse.org/108-translations/#Night
The camp gate opened. An SS unit appeared and encircled us: one SS every three paces. The machine guns on the watchtowers were pointed toward the Appelplatz.,བཙོན་སྒར་གྱི་རྒྱ་སྒོ་ཕྱེ་སོང་། SS ཡི་སྡེ་ཚན་ཞིག་ཡོང་ནས་ང་ཚོའི་མཐའ་བསྐོར། གོམ་པ་གསུམ་རེའི་མཚམས་ན་ SS རེ་ཡོད། སོ་ལྟ་སྟེགས་བུ་དག་ན་སྦག་སྦག་མེ་མདའ་རྣམས་ཚོགས་འཛོམས་བྱེད་སར་གཏད་ཡོད།,1.1375,NA,https://latse.org/108-translations/#Night
"Except once. The Oberkapo of the Fifty-second Cable Kommando was a Dutchman: a giant of a man, well over six feet. He had some seven hundred prisoners under his command, and they all loved him like a brother. Nobody had ever endured a blow or even an insult from him.",ཐེངས་ཤིག་ལ། སྐུད་ལམ་ལས་ཁག་ལྔ་བཅུ་ང་གཉིས་པའི་ཨོ་བྷར་ཁ་ཕོ་ནི་ཌ་ཆི་པ་ཞིག་ཡིན། ཁོ་ནི་གཟུགས་གཞི་ཆེ་ཞིང་། ཕེ་ཁྲི་དྲུག་ལྷག་ཡོད། ཁོའི་དབང་འོག་ཏུ་བཙོན་མ་བདུན་བརྒྱས་ལས་ཀ་བྱེད་ཀྱི་ཡོད་ཅིང་། ཁོ་ཚོ་ཚང་མ་ཁོ་ལ་སྤུན་ཟླ་ཞིག་དང་འདྲ་བར་དགའ། མི་གཅིག་གིས་ཀྱང་ཁོའི་ལག་ནས་གཅར་རྡུང་མྱངས་མེད་ལ། ཁོའི་ངག་ལས་གཤེ་ཚིག་ཀྱང་ཐོས་མ་མྱོང་།,1.04506,NA,https://latse.org/108-translations/#Night
"The same day, the Hungarian police burst into every Jewish home in town: a Jew was henceforth forbidden to own gold, jewelry, or any valuables. Everything had to be handed over to the authorities, under penalty of death. My father went down to the cellar and buried our savings.",ཉིན་དེར་ཧང་གྷ་རིའི་ཉེན་རྟོག་པ་ཁྲོམ་གཞུང་དེའི་ཇིའུ་པའི་ཁྱིམ་ཚང་མར་གློ་བུར་དུ་འཛུལ་འདུག ཇིའུ་པ་སུ་ཞིག་ལ་ཡང་གསེར་དང་དངུལ་གྱིས་གཙོས་དངོས་པོ་རིན་ཐང་ཅན་བདག་ཉར་གྱི་དབང་ཆ་མེད། ཅི་ཡོད་རྣམས་དབང་སྒྱུར་པར་འབུལ་དགོས། དེ་ལས་འགལ་ན་སྲོག་ཉེན་ཡོད། ངའི་ཨ་ཕ་འོབས་དོང་དུ་འཛུལ་ནས་བསགས་དངུལ་དག་སྦས།,0.79494,NA,https://latse.org/108-translations/#Night
We had arrived in Buchenwald.,ང་ཚོ་བྷུ་ཁེན་ཝོལད་ལ་འབྱོར་བར་གྱུར།,1.03022,NA,https://latse.org/108-translations/#Night
"He had lost his son in the commotion. He had searched for him among the dying, to no avail. Then he had dug through the snow to find his body. In vain.",ཁོས་ཁོའི་བུ་འཚང་ཁའི་ཁྲོད་དུ་བོར་འདུག ཁོས་འཆི་བཞིན་པའི་མི་རྣམས་ཀྱི་ཁྲོད་དུ་བཙལ་ཡང་མ་རྙེད། དེ་ནས་ཁོས་ཁ་བ་བཞབས་ནས་ཁོའི་བུའི་བེམ་པོ་བཙལ། འབྲས་བུ་ཅི་ཡང་མ་བྱུང་།,0.842323,NA,https://latse.org/108-translations/#Night
