source,target,extraction_class,url,topics
ལོག་པར་འདྲེན་པའི་དམ་སྲི་ཀུན༔,All spirits who cause us to break our samaya and lead us astray,TibetanVerse|EnglishText,https://www.lotsawahouse.org/tibetan-masters/jigme-lingpa/yumka-dechen-gyalmo-sadhana,"https://www.lotsawahouse.org/topics/longchen-nyingtik
https://www.lotsawahouse.org/topics/sadhanas"
འདི་འདྲའི་སྡུག་བསྔལ་བདག་གིས་བཟོད་དཀའ་ཞིང་༔,"Such miserable torment is difficult to endure,",TibetanVerse|EnglishText,https://www.lotsawahouse.org/tibetan-masters/chokgyur-dechen-lingpa/lament-of-rudra-terma,https://www.lotsawahouse.org/topics/confession
བསྐལ་པ་གྲངས་མེད་སྐྱེ་བ་ཇི་སྙེད་དུ༔,"And in the course of many lives throughout unnumbered ages,",TibetanVerse|EnglishText,https://www.lotsawahouse.org/tibetan-masters/chokgyur-dechen-lingpa/lament-of-rudra-terma,https://www.lotsawahouse.org/topics/confession
ཅེས་དབང་གི་སྒྲོལ་མའི་བརྒྱུད་འདེབས་འདིའང་འཇམ་དབྱངས་མཁྱེན་བརྩེའི་སྤྲུལ་མིང་འཛིན་པ་ཆོས་ཀྱི་བློ་གྲོས་ཀྱི་སྨྲས་རིམ་བཞིན་རང་སློབ་དད་འབྱོར་གྱི་བློ་མངའ་ཚེ་དབང་འབྱོར་རྒྱས་ཀྱིས་ཡི་གེ་བྲིས་པ་དགེ་ལེགས་སུ་གྱུར་ཅིག  །།།,"This lineage prayer for the Tārā of Power was spoken by Chökyi Lodrö, who holds the name of an incarnation of Jamyang Khyentse, and written down by his student Tsewang Jorgyé, whose mind is rich in faith. May this bring virtue and excellence!",TibetanExplanation|Explanation,https://www.lotsawahouse.org/tibetan-masters/jamyang-khyentse-chokyi-lodro/red-tara-lineage-prayer,https://www.lotsawahouse.org/topics/tara
མྱ་ངན་འདའ་བར་བཞེད་པ་གང་སུ་དག །,To all those who intend to pass into nirvāṇa,TibetanVerse|EnglishText,https://www.lotsawahouse.org/tibetan-masters/jamyang-khyentse-chokyi-lodro/three-manjughoshas-of-tibet-guru-yoga,https://www.lotsawahouse.org/topics/guru-yoga
བྱ་རུ་མི་རུང་སྣ་དགུ་སྤྱོད༔,And act inappropriately in all kinds of ways.,TibetanExplanation|Explanation,https://www.lotsawahouse.org/tibetan-masters/jigme-lingpa/palchen-dupa,https://www.lotsawahouse.org/topics/longchen-nyingtik
བྱིན་གྱིས་བརླབ་ཏུ་གསོལ།,"Grant your blessings, I pray!",TibetanVerse|EnglishText,https://www.lotsawahouse.org/tibetan-masters/jigme-lingpa/entering-city-omniscience,https://www.lotsawahouse.org/topics/aspiration-prayers
འདི་ལྟ་སྟེ། དཔེར་ན། རིན་པོ་ཆེའི་ཕུང་པོ་རིའི་རྒྱལ་པོ་རི་རབ་ཙམ་སྤུངས་ཏེ། སྤྱིན་པ་བྱིན་པ་དེའི་བསོད་ནམས་ཀྱི་ཕུང་པོའི་ཚད་ནི་བགྲང་བར་ནུས་ཀྱི། ཚེ་དང་ཡེ་ཤེས་དཔག་ཏུ་མེད་པའི་མདོ་སྡེ་འདིའི་བསོད་ནམས་ཀྱི་ཕུང་པོའི་ཚད་ནི་བགྲང་བར་མི་ནུས་སོ། །,"“It is like this: it would be possible, for instance, to quantify the merit gained by gathering a pile of jewels as large as Mount Meru, and making a gift of it, but the merit of [writing or encouraging others to write] this Sūtra of Boundless Life and Wisdom can not be calculated.",TibetanVerse|EnglishText,https://www.lotsawahouse.org/words-of-the-buddha/sutra-boundless-life,"https://www.lotsawahouse.org/topics/amitayus
https://www.lotsawahouse.org/topics/longevity"
གཙོ་ལ་འབྲུ་འབུམ་ལས་རུང་སྟེ༔,"As for the main mantra, you are allowed to perform the activities if you recite the mantra 100,000 times multiplied by the amount of syllables of the mantra.",TibetanExplanation|Explanation,https://www.lotsawahouse.org/tibetan-masters/jigme-lingpa/palchen-dupa,https://www.lotsawahouse.org/topics/longchen-nyingtik
ཕྲ་ཞིང་བརྟག་པར་དཀའ་བ་ཡི། །,"From the subtle, barely discernible",TibetanVerse|EnglishText,https://www.lotsawahouse.org/tibetan-masters/jamyang-khyentse-chokyi-lodro/merry-sea-buddha-guru-yoga,https://www.lotsawahouse.org/topics/guru-yoga
རང་རིག་འགྱུར་མེད་ཆོས་སྐུའི་ཞིང་ཁམས་སུ། །,"In the pure dharmakāya realm of unchanging awareness,",TibetanVerse|EnglishText,https://www.lotsawahouse.org/tibetan-masters/jetsun-mingyur-paldron/lineage-prayer,https://www.lotsawahouse.org/topics/lineage-prayers
དུས་སྙིགས་མ་ལྔ་བདོའི་སེམས་ཅན་རྣམས། །,All that awaits the sentient beings of this degenerate age,TibetanVerse|EnglishText,https://www.lotsawahouse.org/tibetan-masters/fifth-shamarpa/calling-guru-from-afar-karmapa,https://www.lotsawahouse.org/topics/calling-guru-from-afar
