source,target,source_url,target_url,alignment_score
དངོས་པོའི་དྲི་མ་གང་ཡང་མེད་པ།,It is utterly untainted by anything whatsoever.,https://www.lotsawahouse.org/bo/indian-masters/shri-simha/heart-sutra-commentary,https://www.lotsawahouse.org/indian-masters/shri-simha/heart-sutra-commentary,0.165517
ད་ལྟ་གཉིད་ཆེ་ཞིང་སྤང་བར་དཀའ་བ་ནི་ཚེ་སྔ་མ་ལ་སྦྲུལ་སོགས་སུ་སྐྱེས་ནས་གཉིད་དང་དེའི་རྒྱུ་མུན་པ་ཡིད་བྱེད་ལ་མང་དུ་གོམས་པའི་རྒྱུ་མཐུན་ཡིན་པར་གདགས་པའི་བསྟན་བཅོས་ལས་བཤད་པ་ལྟར།,"When we were born as snakes and other creatures in the past we grew highly accustomed to sleep and its cause, dimness of mind.",https://www.lotsawahouse.org/bo/tibetan-masters/dodrupchen-III/on-sleep,https://www.lotsawahouse.org/tibetan-masters/dodrupchen-III/on-sleep,0.454487
མནལ་དུ་སོང་འདུག་པའི་རྨི་ལམ་དུ་སྔར་གྱི་བུད་མེད་དེ་བྱུང་ནས་སང་རྟག་སྣ་རྩད་ཆོད་པ་ཡོད་ཀྱིས་གསུངས་ནས་ཡལ་སོང་།,"As he began to cry, a young girl holding a bowl full of soup and pastries approached, stopping in front of Sangye Gönpo. “",https://www.lotsawahouse.org/bo/tibetan-masters/jamyang-khyentse-wangpo/history-of-simhamukha,https://www.lotsawahouse.org/tibetan-masters/jamyang-khyentse-wangpo/history-of-simhamukha,0.518769
བློ་བྲལ་སྐྱོང་བ་ཁོ་བོའི་སྙིང་གཏམ་ཡིན། །,‘To maintain a non-conceptual frame of mind’ is my heart advice. 28.,https://www.lotsawahouse.org/bo/tibetan-masters/longchen-rabjam/30-stanzas-of-advice,https://www.lotsawahouse.org/tibetan-masters/longchen-rabjam/30-stanzas-of-advice,0.110417
གསང་བ་ནི་སྙིང་པོའི་དོན་ཉིད་དོ། །,"Secretly, it refers to the heart-essence itself.",https://www.lotsawahouse.org/bo/indian-masters/shri-simha/heart-sutra-commentary,https://www.lotsawahouse.org/indian-masters/shri-simha/heart-sutra-commentary,0.542424
ལྷག་པར་རྫོགས་ཆེན་སྒོམ་ན་ཆོས་དང་ཆོས་མིན་གྱི་བྱ་བ་བཞག་ལང་ལོང་མང་པོ་ཅམ་གྱིས་བཞག་སྟེ་ལས་རླུང་དལ་ཞིང་ཞི་བའི་ཐབས་ལ་འབད་དགོས།,"Here, you must let go of both dharmic and non-dharmic activity, completely setting aside all forms of restlessness, and exert yourself in the methods for slowing and pacifying the karmic wind-energies.",https://www.lotsawahouse.org/bo/tibetan-masters/dodrupchen-III/advice-for-hor-ozer,https://www.lotsawahouse.org/tibetan-masters/dodrupchen-III/advice-for-hor-ozer,0.766387
མུན་གླིང་བོད་དུ་གསལ་བའི་ཉི་མ་ཤར༔,The rising sun has illuminated the dark island of Tibet.,https://www.lotsawahouse.org/bo/tibetan-masters/dudjom-lingpa/biography-of-great-orgyen,https://www.lotsawahouse.org/tibetan-masters/dudjom-lingpa/biography-of-great-orgyen,0.830303
སྐད་ཅིག་གཅིག་གིས་རྫོགས་སངས་རྒྱས། །ཞེས་པའི་ཚུལ་གྱིས་འཆི་བ་འོད་གསལ་ཆོས་ཀྱི་སྐུར་སངས་རྒྱས་པ་ཞེས་བྱ་སྟེ།,"By remaining in that non-conceptual state of clear light, which is the profound and crucial point, there can be what is called ‘awakening as clear light dharmakāya at death,’ just as in the saying, “In an instant complete enlightenment.”",https://www.lotsawahouse.org/bo/tibetan-masters/minling-terchen/liberation-upon-hearing,https://www.lotsawahouse.org/tibetan-masters/minling-terchen/liberation-upon-hearing,0.287309
དེ་བཞིན་དུ་ཚོང་དཔོན་གྱི་བུ་སུ་ཁ་དེ་བ་ཞེས་བྱ་བ་གྲུབ་ཐོབ་འཕགས་པ་སྤྱན་རས་གཟིགས་དང་གཉིས་སུ་མེད་པ་ཞིག་དང་།,"He also sought direction from a merchant's son named Sukhadeva, a siddha who was indivisible from Noble Avalokiteśvara, and likewise from a prostitute, called Sukhadarī.",https://www.lotsawahouse.org/bo/tibetan-masters/taranatha/three-reasons-for-confidence,https://www.lotsawahouse.org/tibetan-masters/taranatha/three-reasons-for-confidence,0.716043
སྐྱེས་བུ་ཆེན་པོ་བསྡུས་པ་ཡིན། །,"This, in summary, is the approach of great individuals.",https://www.lotsawahouse.org/bo/tibetan-masters/gampopa-sonam-rinchen/four-dharmas-lamrim-precious-garland,https://www.lotsawahouse.org/tibetan-masters/gampopa-sonam-rinchen/four-dharmas-lamrim-precious-garland,0.635484
ཞལ་དྲོ་ནི་མ་གྲུབ་པའི་སྐབས་ཡིན་པས།,"The temple had not been inaugurated, however, and the great Master was asked to visit.",https://www.lotsawahouse.org/bo/tibetan-masters/taranatha/three-reasons-for-confidence,https://www.lotsawahouse.org/tibetan-masters/taranatha/three-reasons-for-confidence,0.255882
དེ་ནི་མངའ་བདག་ཁྲི་རལ་པ་ཅན་གྱི་དུས་དུ་བཀས་བཅད་པའི་སྡེ་སྣོད་ངོས་འཛིན་གྱི་ཕྱག་ཅེས་བྱ་སྟེ།,"This is the homage identifying which piṭaka the text belongs to, in accordance with the decree made at the time of King Tri Ralpachen.",https://www.lotsawahouse.org/bo/tibetan-masters/khenpo-pema-vajra/prajnaparamita-overview,https://www.lotsawahouse.org/tibetan-masters/khenpo-pema-vajra/prajnaparamita-overview,0.5
ཕྱིའི་རྒྱལ་ཁབ་ན་གནས་པ་རྣམས་ཚེ་འདིའི་བདེ་སྐྱིད་ཕུན་སུམ་ཚོགས་ཀྱང་ཆོས་བྱེད་པ་དེ་ད་ལྟ་བར་མིང་མ་གྲགས་པ་རེད།,"Those of you who live in Europe and other modern countries have all the amenities and luxuries this life affords, but until recently you had never even heard of the practice of Dharma.",https://www.lotsawahouse.org/bo/tibetan-masters/dilgo-khyentse/advice-three-year-retreatants,https://www.lotsawahouse.org/tibetan-masters/dilgo-khyentse/advice-three-year-retreatants,0.529369
སོ་སྐྱེ་གཏམ་གྱི་སྒྲོན་མེར་རེ་བ་མ་ཡིན། །,Do not hanker after the flickering lights of ordinary conversation.,https://www.lotsawahouse.org/bo/tibetan-masters/patrul-rinpoche/advice-alak-dongak,https://www.lotsawahouse.org/tibetan-masters/patrul-rinpoche/advice-alak-dongak,0.1575
དབང་བཞི་བླངས་ནས་ཐུགས་ཡིད་གཅིག་ཏུ་བསྲེས༔,"Receive the four empowerments, and mingle your mind as one with the Guru’s.",https://www.lotsawahouse.org/bo/tibetan-masters/jamgon-kongtrul/garland-of-vajra-gems,https://www.lotsawahouse.org/tibetan-masters/jamgon-kongtrul/garland-of-vajra-gems,0.665455
ཤ་ཟོས་འབྲས་བུ་དམྱལ་བར་སྐྱེ་བ་དང༌། །,"The result of eating meat is rebirth in the hells,",https://www.lotsawahouse.org/bo/tibetan-masters/nyala-pema-dundul/song-advice-giving-up-meat,https://www.lotsawahouse.org/tibetan-masters/nyala-pema-dundul/song-advice-giving-up-meat,0.916667
འབྱོར་ཚད་ཚོགས་ཀྱི་མཐའ་མར་བསྐོར༔,"With butter lamps, ritual cakes, water offerings and incense.",https://www.lotsawahouse.org/bo/tibetan-masters/ratna-lingpa/tenth-day-invocation,https://www.lotsawahouse.org/tibetan-masters/ratna-lingpa/tenth-day-invocation,1.09375
